threshold,precision,recall,f1
0.0,0.0472,1.0,0.09014514896867838
0.011206548660993576,0.0472,1.0,0.09014514896867838
0.01131674088537693,0.08187621426588954,1.0,0.15135967162647512
0.01140123512595892,0.2277992277992278,1.0,0.3710691823899371
0.011513318866491318,0.22957198443579765,1.0,0.3734177215189873
0.012985516339540482,0.23101018010963195,1.0,0.3753180661577608
0.015447850339114666,0.23119122257053293,1.0,0.3755569700827498
0.015599088743329048,0.23790322580645162,1.0,0.3843648208469056
0.015984805300831795,0.24420529801324503,1.0,0.3925482368596141
0.016141215339303017,0.2532188841201717,1.0,0.4041095890410959
0.016724836081266403,0.2619893428063943,1.0,0.41520056298381425
0.016888363286852837,0.30349794238683125,1.0,0.4656669297553275
0.01728120818734169,0.35287081339712917,1.0,0.5216622458001768
0.017450079321861267,0.4974704890387858,1.0,0.6644144144144144
0.020450307056307793,0.7722513089005235,1.0,0.8714918759231904
0.020649492740631104,0.7783641160949868,1.0,0.8753709198813057
0.021157409995794296,0.7845744680851063,1.0,0.879284649776453
0.021363332867622375,0.8038147138964578,1.0,0.8912386706948641
0.02213151566684246,0.8126721763085399,1.0,0.8966565349544073
0.022346703335642815,0.8501440922190202,1.0,0.9190031152647975
0.02241208404302597,0.8702064896755162,1.0,0.9305993690851735
0.022863559424877167,0.8727810650887574,1.0,0.9320695102685624
0.029601972550153732,0.8939393939393939,1.0,0.944
0.030952580273151398,0.8966565349544073,1.0,0.9455128205128205
0.03223685920238495,0.899390243902439,1.0,0.9470304975922954
0.04128790646791458,0.9021406727828746,1.0,0.9485530546623795
0.04262596741318703,0.9049079754601227,1.0,0.9500805152979066
0.04303165525197983,0.948051948051948,0.9898305084745763,0.9684908789386403
0.05,0.9792387543252595,0.9593220338983051,0.9691780821917808
0.0541975200176239,0.9792387543252595,0.9593220338983051,0.9691780821917808
0.05470704659819603,0.9826388888888888,0.9593220338983051,0.9708404802744426
0.05592954903841019,0.9860627177700348,0.9593220338983051,0.9725085910652922
0.056454386562108994,0.9895104895104895,0.9593220338983051,0.9741824440619621
0.06942176818847656,0.9929577464788732,0.9559322033898305,0.9740932642487047
0.1,1.0,0.9559322033898305,0.9774696707105719
0.15000000000000002,1.0,0.9559322033898305,0.9774696707105719
0.2,1.0,0.9559322033898305,0.9774696707105719
0.25,1.0,0.9559322033898305,0.9774696707105719
0.30000000000000004,1.0,0.9559322033898305,0.9774696707105719
0.35000000000000003,1.0,0.9559322033898305,0.9774696707105719
0.4,1.0,0.9559322033898305,0.9774696707105719
0.45,1.0,0.9559322033898305,0.9774696707105719
0.5,1.0,0.9559322033898305,0.9774696707105719
0.55,1.0,0.9559322033898305,0.9774696707105719
0.6000000000000001,1.0,0.9559322033898305,0.9774696707105719
0.65,1.0,0.9559322033898305,0.9774696707105719
0.7000000000000001,1.0,0.9559322033898305,0.9774696707105719
0.75,1.0,0.9559322033898305,0.9774696707105719
0.8,1.0,0.9559322033898305,0.9774696707105719
0.8500000000000001,1.0,0.9559322033898305,0.9774696707105719
0.9,1.0,0.9559322033898305,0.9774696707105719
0.9500000000000001,1.0,0.9559322033898305,0.9774696707105719
0.9662086367607117,1.0,0.9559322033898305,0.9774696707105719
0.9707534909248352,1.0,0.9525423728813559,0.9756944444444445
0.9774467349052429,1.0,0.9491525423728814,0.9739130434782608
0.9779567718505859,1.0,0.9457627118644067,0.9721254355400697
0.9781690835952759,1.0,0.576271186440678,0.7311827956989247
0.9827880263328552,1.0,0.3152542372881356,0.47938144329896903
0.9829546809196472,1.0,0.3050847457627119,0.4675324675324675
0.9833422899246216,1.0,0.3016949152542373,0.46354166666666674
0.9835035800933838,1.0,0.1694915254237288,0.2898550724637681
0.9844323396682739,1.0,0.09830508474576272,0.17901234567901236
0.987297773361206,1.0,0.09152542372881356,0.16770186335403725
0.9877427816390991,1.0,0.08813559322033898,0.161993769470405
0.9878619909286499,1.0,0.07796610169491526,0.14465408805031446
0.988139271736145,1.0,0.06440677966101695,0.12101910828025476
0.9882547855377197,1.0,0.023728813559322035,0.046357615894039736
1.0,0.0,0.0,0.0
