threshold,precision,recall,f1
0.00013579942,0.02208706786171575,1.0,0.04321954274972282
0.00013862767,0.022090603489675044,1.0,0.043226311667929514
0.00017149239,0.022094140249759846,1.0,0.043233082706724615
0.0001737738,0.02209767814251401,1.0,0.0432398558671048
0.0001898602,0.022101217168481742,1.0,0.04324663115006736
0.00019394374,0.022104757328207592,1.0,0.04325340855661024
0.00019594822,0.022108298622236462,1.0,0.043260188087731966
0.00019874489,0.022111841051113603,1.0,0.04326696974443172
0.00020233441,0.022115384615384617,1.0,0.04327375352770931
0.00020702244,0.0221224751522924,1.0,0.043287327478000306
0.00021412854,0.022126022126022125,1.0,0.04329411764701646
0.0002141665,0.022129570237331624,1.0,0.04330090994661594
0.00021789587,0.022133119486768243,1.0,0.043307704377801653
0.00021928498,0.02213666987487969,1.0,0.043314500941577204
0.00021982988,0.02214022140221402,1.0,0.043321299638946785
0.00022338676,0.022143774069319642,1.0,0.043328100470915225
0.00022715186,0.022147327876745306,1.0,0.04333490343848798
0.00023307941,0.022150882825040127,1.0,0.04334170854267116
0.00024034639,0.022154438914753573,1.0,0.043348515784471485
0.00024869654,0.022157996146435453,1.0,0.04335532516489631
0.00025962837,0.02216155452063594,1.0,0.043362136684953645
0.00026041426,0.02216867469879518,1.0,0.043375766148000934
0.0002629491,0.02217223650385604,1.0,0.04338258409301005
0.00026328603,0.022175799453639723,1.0,0.043389404181689975
0.00026414086,0.022179363548698167,1.0,0.04339622641505188
0.00026514256,0.02219363139273078,1.0,0.043423536815564816
0.0002665447,0.02219720122245456,1.0,0.04343036978752636
0.00026655258,0.0222007722007722,1.0,0.04343720491025023
0.0002733357,0.022204344328238132,1.0,0.043444042184752084
0.0002744798,0.022207917605407145,1.0,0.04345088161204817
0.00027667472,0.02221149203283438,1.0,0.043457723193155405
0.00027926872,0.02221864434068588,1.0,0.04347141282087415
0.00028003578,0.022222222222222223,1.0,0.04347826086952269
0.00028516373,0.02222580125624094,1.0,0.043485111076056404
0.00028539085,0.02222938144329897,1.0,0.043491963441495425
0.00028764035,0.022232962783953602,1.0,0.04349881796686052
0.00028801188,0.02223654527876249,1.0,0.04350567465317307
0.00028902115,0.022240128928283642,1.0,0.04351253350145515
0.00029135673,0.0222472996936966,1.0,0.04352625768801924
0.00029219626,0.022250886810706225,1.0,0.04353312302834858
0.00029399947,0.022258064516129033,1.0,0.04354686020822499
0.00029497145,0.022261655105662203,1.0,0.043553732049823254
0.00029885946,0.022265246853823813,1.0,0.043560606060563445
0.0003002529,0.02226883976117476,1.0,0.04356748224147276
0.0003042563,0.022276029055690073,1.0,0.043581241117910945
0.00030756387,0.022279625443978043,1.0,0.04358812381549747
0.00030930998,0.022283222993702567,1.0,0.0435950086873685
0.0003137199,0.022286821705426358,1.0,0.0436018957345545
0.0003176205,0.022290421579712488,1.0,0.043608784958086594
0.00031988873,0.022294022617124393,1.0,0.04361567635899652
0.0003222303,0.022297624818225885,1.0,0.04362256993831674
0.0003234414,0.022301228183581125,1.0,0.04362946569708031
0.0003252739,0.022304832713754646,1.0,0.043636363636320945
0.0003276602,0.02230843840931135,1.0,0.04364326375707306
0.00033056122,0.02231204527081649,1.0,0.043650166060371656
0.00033107464,0.022315653298835704,1.0,0.043657070547252444
0.00033351715,0.02232648438763954,1.0,0.043677797119754704
0.0003335391,0.02233009708737864,1.0,0.04368471035133428
0.00033460636,0.022333710956465448,1.0,0.043691625771684346
0.00033618978,0.02233732599546779,1.0,0.04369854338184453
0.00034023647,0.022340942204953862,1.0,0.04370546318285511
0.000340548,0.022344559585492228,1.0,0.04371238517575705
0.00034304825,0.02234817813765182,1.0,0.043719309361591956
0.00034414674,0.022355418759112265,1.0,0.0437331643162304
0.00034785498,0.02235904082955282,1.0,0.04374009508712044
0.00035032618,0.02236266407389402,1.0,0.0437470280551165
0.00035034772,0.022366288492706644,1.0,0.04375396322126347
0.0003514904,0.022369914086561842,1.0,0.04376090058660695
0.00035269943,0.022377168801686394,1.0,0.043774781919068986
0.00035270883,0.0223807979240999,1.0,0.04378172588828204
0.00035743325,0.02238442822384428,1.0,0.04378867206088053
0.00035753293,0.022388059701492536,1.0,0.043795620437913366
0.00035794356,0.022391692357618044,1.0,0.0438025710204301
0.00035799117,0.022395326192794548,1.0,0.04380952380948096
0.00035799883,0.022398961207596168,1.0,0.043816478806116846
0.00035876074,0.022402597402597403,1.0,0.043823436011389334
0.0003595251,0.022406234778373113,1.0,0.04383039542635065
0.00036030088,0.02240987333549854,1.0,0.043837357052053695
0.00036044003,0.022417153996101363,1.0,0.04385128693989991
0.0003604498,0.022420796100731114,1.0,0.043858255204152236
0.00036172022,0.022424439389015276,1.0,0.0438652256833646
0.0003625078,0.02242808386153096,1.0,0.043872198378593234
0.00036290978,0.022435376361567224,1.0,0.04388615042132772
0.00036439096,0.0224390243902439,1.0,0.04389312977094943
0.00036635145,0.022442673605464303,1.0,0.043900111340819156
0.0003669259,0.022446324007807418,1.0,0.043907095131996504
0.0003673557,0.02244997559785261,1.0,0.043914081145541774
0.00036744136,0.02245362837617963,1.0,0.04392106938251592
0.00036779002,0.022457282343368593,1.0,0.043928059843980585
0.00036884748,0.0224609375,1.0,0.043935052530998095
0.0003709334,0.02246459384665473,1.0,0.043942047444631434
0.00037173028,0.022468251383914034,1.0,0.04394904458594427
0.00037187382,0.022482893450635387,1.0,0.043977055449287775
0.0003722088,0.022486556949649666,1.0,0.043984063744976896
0.0003733168,0.022490221642764017,1.0,0.0439910742747418
0.00037409132,0.022493887530562348,1.0,0.0439980870396509
